repository,function_name,functions,classes,imports,loops,variables,if_statements,returns,function_calls,comments,syntax_error,issue_count,error_count,warning_count,convention_count,refactor_count,fatal_count,embedding_dimension,token_count,semantic_score,confidence,readability,quality_score,quality_label
proycon/pynlpl,AbstractElement.addidsuffix,1,0,0,1,0,2,0,1,0,False,13,0,9,4,0,0,768,209,63.0,60.2,Average,62.6,Average
proycon/pynlpl,AbstractElement.setparents,1,0,0,1,1,1,0,2,0,False,9,1,5,3,0,0,768,126,64.9,75.6,Average,70.0,Good
proycon/pynlpl,AbstractElement.setdoc,1,0,0,1,2,2,0,2,0,False,11,1,7,3,0,0,768,157,63.4,79.5,Average,61.7,Average
proycon/pynlpl,AbstractElement.hastext,1,0,0,1,0,5,6,4,1,False,32,3,19,7,3,0,768,512,61.1,74.5,Average,0,Poor
proycon/pynlpl,AbstractElement.hasphon,1,0,0,1,0,5,6,4,1,False,30,3,19,5,3,0,768,512,61.0,74.9,Average,0,Poor
proycon/pynlpl,AbstractElement.settext,1,0,0,0,0,0,0,1,0,False,6,1,2,3,0,0,768,150,62.7,81.0,Average,81.5,Good
proycon/pynlpl,AbstractElement.setdocument,1,0,0,1,2,4,0,4,0,False,18,3,11,3,1,0,768,302,61.9,80.9,Average,23.4,Poor
proycon/pynlpl,AbstractElement.addable,1,0,0,0,6,9,4,7,1,False,43,5,27,8,3,0,768,512,61.7,70.9,Average,0,Poor
proycon/pynlpl,AbstractElement.postappend,1,0,0,0,0,2,0,2,1,False,9,0,5,4,0,0,768,204,62.6,78.3,Average,78.5,Good
proycon/pynlpl,AbstractElement.deepvalidation,1,0,0,0,1,3,0,4,0,False,21,3,15,3,0,0,768,415,61.3,75.7,Average,9.3,Poor
proycon/pynlpl,AbstractElement.findreplaceables,1,0,0,0,0,0,1,2,0,False,8,0,4,4,0,0,768,86,64.1,93.5,Average,82.8,Good
proycon/pynlpl,AbstractElement.updatetext,1,0,0,1,2,3,0,4,0,False,15,2,10,3,0,0,768,242,63.2,65.1,Average,39.6,Poor
proycon/pynlpl,AbstractElement.replace,1,0,0,0,12,9,3,16,4,False,54,3,42,6,3,0,768,512,61.4,71.8,Average,0,Poor
proycon/pynlpl,AbstractElement.ancestors,1,0,0,2,2,4,0,3,0,False,18,0,13,5,0,0,768,394,62.6,88.0,Average,45.5,Poor
proycon/pynlpl,AbstractElement.ancestor,1,0,0,1,0,0,1,2,0,False,9,1,4,4,0,0,768,181,63.5,76.5,Average,72.7,Good
proycon/pynlpl,AbstractElement.xml,1,0,0,5,36,58,1,22,8,False,198,42,130,23,3,0,768,512,60.8,70.2,Average,0,Poor
proycon/pynlpl,AbstractElement.json,1,0,0,3,18,20,1,8,1,False,53,3,46,3,1,0,768,512,61.4,65.3,Average,0,Poor
proycon/pynlpl,AbstractElement.xmlstring,1,0,0,0,5,3,1,8,0,False,16,2,11,3,0,0,768,306,62.6,89.3,Average,35.5,Poor
proycon/pynlpl,AbstractElement.select,1,0,0,3,4,15,0,4,4,False,56,1,43,9,3,0,768,512,60.9,83.7,Average,0,Poor
proycon/pynlpl,AbstractElement.count,1,0,0,0,0,0,1,2,0,False,9,0,3,4,2,0,768,121,62.3,88.0,Average,82.5,Good
